iter	Passed	Remaining
409	3426	4931
410	3438	4927
411	3449	4922
412	3459	4917
413	3469	4910
414	3478	4903
415	3487	4896
416	3496	4888
417	3503	4878
418	3510	4867
419	3516	4856
420	3524	4847
421	3530	4835
422	3537	4824
423	3543	4813
424	3550	4803
425	3557	4793
426	3564	4782
427	3570	4771
428	3576	4760
429	3584	4750
430	3590	4740
431	3596	4729
432	3603	4719
433	3610	4708
434	3616	4697
435	3623	4687
436	3629	4676
437	3636	4666
438	3643	4656
439	3650	4645
440	3657	4635
441	3663	4625
442	3670	4614
443	3677	4604
444	3683	4594
445	3690	4584
446	3698	4574
447	3704	4564
448	3711	4554
449	3718	4544
450	3724	4534
451	3731	4524
452	3738	4514
453	3744	4503
454	3751	4493
455	3758	4483
456	3764	4472
457	3770	4462
458	3777	4452
459	3784	4442
460	3790	4431
461	3796	4420
462	3802	4410
463	3809	4400
464	3815	4390
465	3822	4380
466	3828	4369
467	3835	4359
468	3841	4349
469	3848	4339
470	3854	4329
471	3861	4319
472	3868	4309
473	3874	4300
474	3881	4290
475	3888	4280
476	3895	4270
477	3902	4261
478	3909	4251
479	3915	4242
480	3922	4232
481	3929	4222
482	3936	4213
483	3942	4203
484	3949	4194
485	3956	4184
486	3963	4175
487	3970	4165
488	3977	4156
489	3986	4149
490	3993	4139
491	4000	4130
492	4006	4120
493	4013	4110
494	4020	4101
495	4026	4091
496	4033	4082
497	4040	4072
498	4046	4062
499	4053	4053
500	4059	4043
501	4066	4034
502	4073	4025
503	4081	4016
504	4087	4006
505	4094	3997
506	4101	3987
507	4107	3978
508	4114	3969
509	4121	3960
510	4128	3950
511	4134	3940
512	4141	3931
513	4148	3922
514	4154	3912
515	4161	3903
516	4168	3894
517	4178	3888
518	4185	3878
519	4191	3869
520	4198	3859
521	4204	3849
522	4211	3840
523	4217	3831
524	4224	3822
525	4231	3813
526	4239	3804
527	4246	3796
528	4253	3787
529	4261	3778
530	4268	3769
531	4275	3761
532	4282	3752
533	4289	3743
534	4297	3734
535	4303	3725
536	4310	3716
537	4317	3707
538	4324	3698
539	4333	3691
540	4340	3682
541	4347	3673
542	4353	3664
543	4360	3654
544	4366	3645
545	4373	3636
546	4380	3627
547	4387	3618
548	4393	3609
549	4400	3600
550	4406	3591
551	4413	3582
552	4421	3573
553	4428	3564
554	4434	3555
555	4441	3546
556	4447	3537
557	4454	3528
558	4461	3519
559	4467	3510
560	4474	3501
561	4481	3492
562	4488	3483
563	4494	3474
564	4501	3465
565	4507	3456
566	4514	3447
567	4521	3438
568	4527	3429
569	4534	3420
570	4540	3411
571	4547	3402
572	4554	3393
573	4561	3385
574	4569	3377
575	4575	3368
576	4582	3359
577	4589	3351
578	4596	3342
579	4603	3333
580	4609	3324
581	4616	3315
582	4623	3307
583	4630	3298
584	4636	3289
585	4643	3280
586	4650	3271
587	4657	3263
588	4664	3254
589	4670	3245
590	4677	3237
591	4684	3228
592	4691	3219
593	4698	3211
594	4704	3202
595	4711	3193
596	4718	3185
597	4725	3176
598	4732	3167
599	4739	3159
600	4746	3151
601	4760	3147
602	4773	3142
603	4786	3137
604	4797	3131
605	4808	3126
606	4818	3119
607	4828	3113
608	4838	3106
609	4848	3099
610	4856	3091
611	4863	3083
612	4870	3074
613	4876	3065
614	4883	3057
615	4890	3048
616	4897	3039
617	4903	3031
618	4910	3022
619	4917	3014
620	4925	3005
621	4931	2997
622	4938	2988
623	4945	2980
624	4952	2971
625	4959	2963
626	4966	2954
627	4973	2946
628	4980	2937
629	4987	2929
630	4994	2920
631	5000	2911
632	5007	2903
633	5014	2894
634	5021	2886
635	5028	2877
636	5034	2869
637	5041	2860
638	5048	2852
639	5055	2843
640	5061	2835
641	5068	2826
642	5075	2818
643	5082	2809
644	5089	2801
645	5096	2792
646	5102	2784
647	5109	2775
648	5116	2767
649	5123	2759
650	5130	2750
651	5137	2742
652	5144	2733
653	5150	2725
654	5158	2716
655	5164	2708
656	5171	2699
657	5177	2691
658	5185	2683
659	5191	2674
660	5198	2666
661	5205	2657
662	5211	2649
663	5218	2640
664	5225	2632
665	5232	2624
666	5239	2616
667	5246	2607
668	5253	2599
669	5261	2591
670	5276	2586
671	5283	2578
672	5290	2570
673	5296	2561
674	5302	2553
675	5309	2544
676	5316	2536
677	5322	2527
678	5329	2519
679	5336	2511
680	5343	2502
681	5349	2494
682	5357	2486
683	5364	2478
684	5370	2469
685	5377	2461
686	5384	2453
687	5390	2444
688	5397	2436
689	5404	2427
690	5410	2419
691	5417	2411
692	5425	2403
693	5432	2395
694	5438	2386
695	5445	2378
696	5452	2370
697	5458	2361
698	5465	2353
699	5472	2345
700	5479	2336
701	5485	2328
702	5492	2320
703	5498	2312
704	5505	2303
705	5512	2295
706	5518	2287
707	5526	2279
708	5533	2271
709	5540	2262
710	5546	2254
711	5554	2246
712	5561	2238
713	5568	2230
714	5574	2222
715	5581	2213
716	5588	2205
717	5594	2197
718	5601	2189
719	5608	2181
720	5614	2172
721	5621	2164
722	5628	2156
723	5634	2148
724	5642	2140
725	5648	2131
726	5655	2123
727	5662	2115
728	5669	2107
729	5675	2099
730	5683	2091
731	5689	2083
732	5696	2074
733	5702	2066
734	5709	2058
735	5716	2050
736	5722	2042
737	5730	2034
738	5737	2026
739	5743	2018
740	5751	2010
741	5758	2002
742	5765	1994
743	5771	1985
744	5778	1977
745	5785	1969
746	5791	1961
747	5798	1953
748	5805	1945
749	5811	1937
750	5818	1929
751	5824	1921
752	5832	1913
753	5838	1904
754	5845	1896
755	5852	1888
756	5859	1881
757	5866	1873
758	5873	1865
759	5880	1856
760	5887	1848
761	5893	1840
762	5900	1832
763	5906	1824
764	5913	1816
765	5920	1808
766	5926	1800
767	5933	1792
768	5940	1784
769	5946	1776
770	5954	1768
771	5961	1760
772	5968	1752
773	5974	1744
774	5981	1736
775	5987	1728
776	5994	1720
777	6001	1712
778	6007	1704
779	6015	1696
780	6022	1688
781	6029	1680
782	6036	1672
783	6042	1664
784	6049	1656
785	6056	1648
786	6066	1641
787	6072	1633
788	6079	1625
789	6085	1617
790	6092	1609
791	6099	1601
792	6105	1593
793	6112	1585
794	6119	1577
795	6125	1569
796	6133	1562
797	6139	1554
798	6146	1546
799	6153	1538
800	6159	1530
801	6166	1522
802	6173	1514
803	6180	1506
804	6187	1498
805	6193	1490
806	6200	1482
807	6208	1475
808	6214	1467
809	6221	1459
810	6229	1451
811	6236	1443
812	6243	1436
